areaCode,areaName,areaDefinition
391404135,Tronzano Lago Maggiore,Comune di Tronzano Lago Maggiore
391404136,Curiglia con M.,Comune di Curiglia con M.
391404137,Duno,Comune di Duno
3914050,MONZA,Comune di MONZA
391405001,Lissone,Comune di Lissone
391405002,Seregno,Comune di Seregno
391405003,Desio,Comune di Desio
391405004,Cesano Maderno,Comune di Cesano Maderno
391405005,Brugherio,Comune di Brugherio
391405006,Limbiate,Comune di Limbiate
391405007,Giussano,Comune di Giussano
391405008,Vimercate,Comune di Vimercate
391405009,Muggiò,Comune di Muggiò
391405010,Nova Milanese,Comune di Nova Milanese
391405011,Seveso,Comune di Seveso
391405012,Meda,Comune di Meda
391405013,Arcore,Comune di Arcore
391405014,Carate Brianza,Comune di Carate Brianza
391405015,Bovisio-Masciago,Comune di Bovisio-Masciago
391405016,Lentate sul Seveso,Comune di Lentate sul Seveso
391405017,Concorezzo,Comune di Concorezzo
391405018,Besana in Brianza,Comune di Besana in Brianza
391405019,Agrate Brianza,Comune di Agrate Brianza
391405020,Villasanta,Comune di Villasanta
391405021,Varedo,Comune di Varedo
391405022,Biassono,Comune di Biassono
391405023,Bernareggio,Comune di Bernareggio
391405024,Cornate d'Adda,Comune di Cornate d'Adda
391405025,Usmate Velate,Comune di Usmate Velate
391405026,Verano Brianza,Comune di Verano Brianza
391405027,Triuggio,Comune di Triuggio
391405028,Lesmo,Comune di Lesmo
391405029,Cogliate,Comune di Cogliate
391405030,Sovico,Comune di Sovico
391405031,Lazzate,Comune di Lazzate
391405032,Vedano al Lambro,Comune di Vedano al Lambro
391405033,Carnate,Comune di Carnate
391405034,Macherio,Comune di Macherio
391405035,Cavenago di Brianza,Comune di Cavenago di Brianza
391405036,Bellusco,Comune di Bellusco
391405037,Barlassina,Comune di Barlassina
391405038,Busnago,Comune di Busnago
391405039,Ceriano Laghetto,Comune di Ceriano Laghetto
391405040,Albiate,Comune di Albiate
391405041,Briosco,Comune di Briosco
391405042,Misinto,Comune di Misinto
391405043,Ornago,Comune di Ornago
391405044,Caponago,Comune di Caponago
391405045,Roncello,Comune di Roncello
391405046,Mezzago,Comune di Mezzago
391405047,Sulbiate,Comune di Sulbiate
391405048,Veduggio con Colzano,Comune di Veduggio con Colzano
391405049,Burago di Molgora,Comune di Burago di Molgora
391405050,Renate,Comune di Renate
391405051,Ronco Briantino,Comune di Ronco Briantino
391405052,Correzzana,Comune di Correzzana
391405053,Camparada,Comune di Camparada
391405054,Aicurzio,Comune di Aicurzio
3914060,Como,Comune di Como
391406001,Cantù,Comune di Cantù
391406002,Mariano Comense,Comune di Mariano Comense
391406003,Erba,Comune di Erba
391406004,Olgiate Comasco,Comune di Olgiate Comasco
391406005,Lomazzo,Comune di Lomazzo
391406006,Fino Mornasco,Comune di Fino Mornasco
391406007,Lurate Caccivio,Comune di Lurate Caccivio
391406008,Turate,Comune di Turate
391406009,Cermenate,Comune di Cermenate
391406010,Inverigo,Comune di Inverigo
391406011,Mozzate,Comune di Mozzate
391406012,Cadorago,Comune di Cadorago
391406013,Villa Guardia,Comune di Villa Guardia
391406014,Rovellasca,Comune di Rovellasca
391406015,San Fermo della B.,Comune di San Fermo della B.
391406016,Appiano Gentile,Comune di Appiano Gentile
391406017,Cabiate,Comune di Cabiate
391406018,Carugo,Comune di Carugo
391406019,Cernobbio,Comune di Cernobbio
391406020,Bregnano,Comune di Bregnano
391406021,Albavilla,Comune di Albavilla
391406022,Rovello Porro,Comune di Rovello Porro
391406023,Lipomo,Comune di Lipomo
391406024,Guanzate,Comune di Guanzate
391406025,Tavernerio,Comune di Tavernerio
391406026,Capiago Intimiano,Comune di Capiago Intimiano
391406027,Colverde,Comune di Colverde
391406028,Lurago d'Erba,Comune di Lurago d'Erba
391406029,Montano Lucino,Comune di Montano Lucino
391406030,Canzo,Comune di Canzo
391406031,Arosio,Comune di Arosio
391406032,Figino Serenza,Comune di Figino Serenza
391406033,Tremezzina,Comune di Tremezzina
391406034,Casnate con Bernate,Comune di Casnate con Bernate
391406035,Uggiate-Trevano,Comune di Uggiate-Trevano
391406036,Alzate Brianza,Comune di Alzate Brianza
391406037,Porlezza,Comune di Porlezza
391406038,Binago,Comune di Binago
391406039,Solbiate con Cagno,Comune di Solbiate con Cagno
391406040,Faloppio,Comune di Faloppio
391406041,Carimate,Comune di Carimate
391406042,Ponte Lambro,Comune di Ponte Lambro
391406043,Locate Varesino,Comune di Locate Varesino
391406044,Vertemate con Minoprio,Comune di Vertemate con Minoprio
391406045,Albese con Cassano,Comune di Albese con Cassano
391406046,Gravedona ed Uniti,Comune di Gravedona ed Uniti
391406047,Merone,Comune di Merone
391406048,Bulgarograsso,Comune di Bulgarograsso
391406049,Limido Comasco,Comune di Limido Comasco
391406050,Bellagio,Comune di Bellagio
391406051,Asso,Comune di Asso
391406052,Centro Valle Intelvi,Comune di Centro Valle Intelvi
391406053,Cucciago,Comune di Cucciago
391406054,Cassina Rizzardi,Comune di Cassina Rizzardi
391406055,Dongo,Comune di Dongo
391406056,Maslianico,Comune di Maslianico
391406057,Fenegrò,Comune di Fenegrò
391406058,Senna Comasco,Comune di Senna Comasco
391406059,Carlazzo,Comune di Carlazzo
391406060,Menaggio,Comune di Menaggio
391406061,Veniano,Comune di Veniano
391406062,Carbonate,Comune di Carbonate
391406063,Alta Valle Intelvi,Comune di Alta Valle Intelvi
391406064,Novedrate,Comune di Novedrate
391406065,Grandate,Comune di Grandate
391406066,Beregazzo con Figliaro,Comune di Beregazzo con Figliaro
391406067,Luisago,Comune di Luisago
391406068,Albiolo,Comune di Albiolo
391406069,Orsenigo,Comune di Orsenigo
391406070,Valbrona,Comune di Valbrona
391406071,Valmorea,Comune di Valmorea
391406072,Eupilio,Comune di Eupilio
391406073,Lurago Marinone,Comune di Lurago Marinone
391406074,Montorfano,Comune di Montorfano
391406075,Lambrugo,Comune di Lambrugo
391406076,Oltrona di San Mamette,Comune di Oltrona di San Mamette
391406077,Monguzzo,Comune di Monguzzo
391406078,Brenna,Comune di Brenna
391406079,Cirimido,Comune di Cirimido
391406080,Lezzeno,Comune di Lezzeno
391406081,Campione d'Italia,Comune di Campione d'Italia
391406082,Longone al Segrino,Comune di Longone al Segrino
391406083,Anzano del Parco,Comune di Anzano del Parco
391406084,San Siro,Comune di San Siro
391406085,Bizzarone,Comune di Bizzarone
391406086,Ronago,Comune di Ronago
391406087,Caslino d'Erba,Comune di Caslino d'Erba
391406088,Brunate,Comune di Brunate
391406089,Moltrasio,Comune di Moltrasio
391406090,Valsolda,Comune di Valsolda
391406091,Domaso,Comune di Domaso
391406092,Pusiano,Comune di Pusiano
391406093,Grandola ed Uniti,Comune di Grandola ed Uniti
391406094,Alserio,Comune di Alserio
391406095,Rodero,Comune di Rodero
391406096,Castelmarte,Comune di Castelmarte
391406097,Sorico,Comune di Sorico
391406098,Blevio,Comune di Blevio
391406099,Nesso,Comune di Nesso
391406100,Faggeto Lario,Comune di Faggeto Lario
391406101,Carate Urio,Comune di Carate Urio
391406102,Torno,Comune di Torno
391406103,Pianello del Lario,Comune di Pianello del Lario
391406104,Gera Lario,Comune di Gera Lario
391406105,San Bartolomeo Val C.,Comune di San Bartolomeo Val C.
391406106,Musso,Comune di Musso
391406107,Proserpio,Comune di Proserpio
391406108,Castelnuovo Bozzente,Comune di Castelnuovo Bozzente
391406109,Laglio,Comune di Laglio
391406110,Schignano,Comune di Schignano
391406111,Plesio,Comune di Plesio
391406112,Corrido,Comune di Corrido
391406113,Vercana,Comune di Vercana
391406114,Garzeno,Comune di Garzeno
391406115,Pognana Lario,Comune di Pognana Lario
391406116,Argegno,Comune di Argegno
391406117,Cremia,Comune di Cremia
391406118,Magreglio,Comune di Magreglio
391406119,Sormano,Comune di Sormano
391406120,Griante,Comune di Griante
391406121,Stazzona,Comune di Stazzona
391406122,Dizzasco,Comune di Dizzasco
391406123,Barni,Comune di Barni
391406124,Claino con Osteno,Comune di Claino con Osteno
391406125,Cerano d'Intelvi,Comune di Cerano d'Intelvi
391406126,Laino,Comune di Laino
391406127,Sala Comacina,Comune di Sala Comacina
391406128,Colonno,Comune di Colonno
391406129,Caglio,Comune di Caglio
391406130,Lasnigo,Comune di Lasnigo
391406131,Brienno,Comune di Brienno
391406132,Bene Lario,Comune di Bene Lario
391406133,Rezzago,Comune di Rezzago
391406134,Blessagno,Comune di Blessagno
391406135,San Nazzaro Val C.,Comune di San Nazzaro Val C.
391406136,Pigra,Comune di Pigra
391406137,Dosso del Liro,Comune di Dosso del Liro
391406138,Ponna,Comune di Ponna
391406139,Trezzone,Comune di Trezzone
391406140,Montemezzo,Comune di Montemezzo
391406141,Cusino,Comune di Cusino
391406142,Veleso,Comune di Veleso
391406143,Zelbio,Comune di Zelbio
391406144,Cavargna,Comune di Cavargna
391406145,Peglio,Comune di Peglio
391406146,Livo,Comune di Livo
391406147,Val Rezzo,Comune di Val Rezzo
3914070,Pavia,Comune di Pavia
391407001,Vigevano,Comune di Vigevano
391407002,Voghera,Comune di Voghera
391407003,Mortara,Comune di Mortara
391407004,Stradella,Comune di Stradella
391407005,Gambolò,Comune di Gambolò
391407006,Garlasco,Comune di Garlasco
391407007,Broni,Comune di Broni
391407008,Casorate Primo,Comune di Casorate Primo
391407009,Cassolnovo,Comune di Cassolnovo
391407010,Cava Manara,Comune di Cava Manara
391407011,Casteggio,Comune di Casteggio
391407012,Vidigulfo,Comune di Vidigulfo
391407013,Landriano,Comune di Landriano
391407014,San Martino Siccomario,Comune di San Martino Siccomario
391407015,Mede,Comune di Mede
391407016,Siziano,Comune di Siziano
391407017,Belgioioso,Comune di Belgioioso
391407018,Robbio,Comune di Robbio
391407019,Certosa di Pavia,Comune di Certosa di Pavia
391407020,Cilavegna,Comune di Cilavegna
391407021,Giussago,Comune di Giussago
391407022,Rivanazzano Terme,Comune di Rivanazzano Terme
391407023,Sannazzaro de' Burgondi,Comune di Sannazzaro de' Burgondi
391407024,Cura Carpignano,Comune di Cura Carpignano
391407025,Dorno,Comune di Dorno
391407026,Travacò Siccomario,Comune di Travacò Siccomario
391407027,Gropello Cairoli,Comune di Gropello Cairoli
391407028,San Genesio ed Uniti,Comune di San Genesio ed Uniti
391407029,Chignolo Po,Comune di Chignolo Po
391407030,Miradolo Terme,Comune di Miradolo Terme
391407031,Tromello,Comune di Tromello
391407032,Albuzzano,Comune di Albuzzano
391407033,Torrevecchia Pia,Comune di Torrevecchia Pia
391407034,Bressana Bottarone,Comune di Bressana Bottarone
391407035,Villanterio,Comune di Villanterio
391407036,Vellezzo Bellini,Comune di Vellezzo Bellini
391407037,Godiasco Salice Terme,Comune di Godiasco Salice Terme
391407038,Zinasco,Comune di Zinasco
391407039,Varzi,Comune di Varzi
391407040,Bereguardo,Comune di Bereguardo
391407041,Linarolo,Comune di Linarolo
391407042,Gravellona Lomellina,Comune di Gravellona Lomellina
391407043,Bornasco,Comune di Bornasco
391407044,Pieve Porto Morone,Comune di Pieve Porto Morone
391407045,Borgarello,Comune di Borgarello
391407046,Corteolona e Genzone,Comune di Corteolona e Genzone
391407047,Casei Gerola,Comune di Casei Gerola
391407048,Marcignago,Comune di Marcignago
391407049,Lungavilla,Comune di Lungavilla
391407050,Torre d'Isola,Comune di Torre d'Isola
391407051,Trivolzio,Comune di Trivolzio
391407052,Santa Maria della Versa,Comune di Santa Maria della Versa
391407053,Ceranova,Comune di Ceranova
391407054,Valle Lomellina,Comune di Valle Lomellina
391407055,Lomello,Comune di Lomello
391407056,Parona,Comune di Parona
391407057,Santa Cristina e B.,Comune di Santa Cristina e B.
391407058,Palestro,Comune di Palestro
391407059,Pieve del Cairo,Comune di Pieve del Cairo
391407060,Bascapè,Comune di Bascapè
391407061,Copiano,Comune di Copiano
391407062,Magherno,Comune di Magherno
391407063,Zerbolò,Comune di Zerbolò
391407064,Pinarolo Po,Comune di Pinarolo Po
391407065,Zeccone,Comune di Zeccone
391407066,Montù Beccaria,Comune di Montù Beccaria
391407067,Marzano,Comune di Marzano
391407068,Torrazza Coste,Comune di Torrazza Coste
391407069,Confienza,Comune di Confienza
391407070,Santa Giuletta,Comune di Santa Giuletta
391407071,Retorbido,Comune di Retorbido
391407072,Roncaro,Comune di Roncaro
391407073,Arena Po,Comune di Arena Po
391407074,Vistarino,Comune di Vistarino
391407075,Sartirana Lomellina,Comune di Sartirana Lomellina
391407076,Montebello della B.,Comune di Montebello della B.
391407077,Candia Lomellina,Comune di Candia Lomellina
391407078,Portalbera,Comune di Portalbera
391407079,Valle Salimbene,Comune di Valle Salimbene
391407080,Inverno e Monteleone,Comune di Inverno e Monteleone
391407081,Carbonara al Ticino,Comune di Carbonara al Ticino
391407082,Gerenzago,Comune di Gerenzago
391407083,Borgo Priolo,Comune di Borgo Priolo
391407084,Canneto Pavese,Comune di Canneto Pavese
391407085,Mezzanino,Comune di Mezzanino
391407086,Cigognola,Comune di Cigognola
391407087,Verrua Po,Comune di Verrua Po
391407088,Cervesina,Comune di Cervesina
391407089,Sommo,Comune di Sommo
391407090,Frascarolo,Comune di Frascarolo
391407091,Lardirago,Comune di Lardirago
391407092,Castello d'Agogna,Comune di Castello d'Agogna
391407093,Ferrera Erbognone,Comune di Ferrera Erbognone
391407094,Ottobiano,Comune di Ottobiano
391407095,Campospinoso,Comune di Campospinoso
391407096,Colli Verdi,Comune di Colli Verdi
391407097,San Giorgio di L.,Comune di San Giorgio di L.
391407098,Mezzana Bigli,Comune di Mezzana Bigli
391407099,Castelletto di B.,Comune di Castelletto di B.
391407100,Redavalle,Comune di Redavalle
391407101,Corvino San Quirico,Comune di Corvino San Quirico
391407102,Trovo,Comune di Trovo
391407103,Zeme,Comune di Zeme
391407104,Zavattarello,Comune di Zavattarello
391407105,Sant'Alessio con V.,Comune di Sant'Alessio con V.
391407106,Codevilla,Comune di Codevilla
391407107,Bastida Pancarana,Comune di Bastida Pancarana
391407108,Borgo San Siro,Comune di Borgo San Siro
391407109,Torre d'Arese,Comune di Torre d'Arese
391407110,Scaldasole,Comune di Scaldasole
391407111,Casatisma,Comune di Casatisma
391407112,Montalto Pavese,Comune di Montalto Pavese
391407113,Pieve Albignola,Comune di Pieve Albignola
391407114,Rovescala,Comune di Rovescala
391407115,Barbianello,Comune di Barbianello
391407116,Cornale e Bastida,Comune di Cornale e Bastida
391407117,Torricella Verzate,Comune di Torricella Verzate
391407118,Alagna,Comune di Alagna
391407119,Filighera,Comune di Filighera
391407120,Pietra de' Giorgi,Comune di Pietra de' Giorgi
391407121,Ponte Nizza,Comune di Ponte Nizza
391407122,Sant'Angelo Lomellina,Comune di Sant'Angelo Lomellina
391407123,Villanova d'Ardenghi,Comune di Villanova d'Ardenghi
391407124,Corana,Comune di Corana
391407125,Breme,Comune di Breme
391407126,Castana,Comune di Castana
391407127,Olevano di Lomellina,Comune di Olevano di Lomellina
391407128,Cergnago,Comune di Cergnago
391407129,Pizzale,Comune di Pizzale
391407130,Monticelli Pavese,Comune di Monticelli Pavese
391407131,Battuda,Comune di Battuda
391407132,Silvano Pietra,Comune di Silvano Pietra
391407133,Bagnaria,Comune di Bagnaria
391407134,San Damiano al Colle,Comune di San Damiano al Colle
391407135,Romagnese,Comune di Romagnese
391407136,Bosnasco,Comune di Bosnasco
391407137,Mornico Losana,Comune di Mornico Losana
391407138,Rognano,Comune di Rognano
391407139,Suardi,Comune di Suardi
391407140,Val di Nizza,Comune di Val di Nizza
391407141,Rosasco,Comune di Rosasco
391407142,Torre Beretti e C.,Comune di Torre Beretti e C.
391407143,San Zenone al Po,Comune di San Zenone al Po
391407144,Robecco Pavese,Comune di Robecco Pavese
391407145,Brallo di Pregola,Comune di Brallo di Pregola
391407146,Castelnovetto,Comune di Castelnovetto
391407147,Albonese,Comune di Albonese
391407148,Spessa,Comune di Spessa
391407149,Montecalvo Versiggia,Comune di Montecalvo Versiggia
391407150,San Cipriano Po,Comune di San Cipriano Po
391407151,Santa Margherita di S.,Comune di Santa Margherita di S.
391407152,Zenevredo,Comune di Zenevredo
391407153,Mezzana Rabattone,Comune di Mezzana Rabattone
391407154,Casanova Lonati,Comune di Casanova Lonati
391407155,Borgoratto Mormorolo,Comune di Borgoratto Mormorolo
391407156,Rea,Comune di Rea
391407157,Montescano,Comune di Montescano
391407158,Costa de' Nobili,Comune di Costa de' Nobili
391407159,Zerbo,Comune di Zerbo
391407160,Verretto,Comune di Verretto
391407161,Cozzo,Comune di Cozzo
391407162,Badia Pavese,Comune di Badia Pavese
391407163,Fortunago,Comune di Fortunago
391407164,Langosco,Comune di Langosco
391407165,Menconico,Comune di Menconico
391407166,Torre de' Negri,Comune di Torre de' Negri
391407167,Pancarana,Comune di Pancarana
391407168,Nicorvo,Comune di Nicorvo
391407169,Montesegale,Comune di Montesegale
391407170,Albaredo Arnaboldi,Comune di Albaredo Arnaboldi
391407171,Cecima,Comune di Cecima
391407172,Rocca Susella,Comune di Rocca Susella
391407173,Valeggio,Comune di Valeggio
391407174,Gambarana,Comune di Gambarana
391407175,Semiana,Comune di Semiana
391407176,Golferenzo,Comune di Golferenzo
391407177,Ceretto Lomellina,Comune di Ceretto Lomellina
391407178,Galliavola,Comune di Galliavola
391407179,Oliva Gessi,Comune di Oliva Gessi
391407180,Lirio,Comune di Lirio
391407181,Volpara,Comune di Volpara
391407182,Calvignano,Comune di Calvignano
391407183,Velezzo Lomellina,Comune di Velezzo Lomellina
391407184,Rocca de' Giorgi,Comune di Rocca de' Giorgi
391407185,Villa Biscossi,Comune di Villa Biscossi
3914080,Mantova,Comune di Mantova
391408001,Castiglione delle S.,Comune di Castiglione delle S.
391408002,Suzzara,Comune di Suzzara
391408003,Viadana,Comune di Viadana
391408004,Porto Mantovano,Comune di Porto Mantovano
391408005,Curtatone,Comune di Curtatone
391408006,Borgo Virgilio,Comune di Borgo Virgilio
391408007,Castel Goffredo,Comune di Castel Goffredo
391408008,San Giorgio Bigarello,Comune di San Giorgio Bigarello
391408009,Goito,Comune di Goito
391408010,Asola,Comune di Asola
391408011,Gonzaga,Comune di Gonzaga
391408012,Roverbella,Comune di Roverbella
391408013,Marmirolo,Comune di Marmirolo
391408014,Volta Mantovana,Comune di Volta Mantovana
391408015,Sermide e Felonica,Comune di Sermide e Felonica
391408016,Pegognaga,Comune di Pegognaga
391408017,Roncoferraro,Comune di Roncoferraro
391408018,San Benedetto Po,Comune di San Benedetto Po
391408019,Ostiglia,Comune di Ostiglia
391408020,Poggio Rusco,Comune di Poggio Rusco
391408021,Marcaria,Comune di Marcaria
391408022,Guidizzolo,Comune di Guidizzolo
391408023,Bagnolo San Vito,Comune di Bagnolo San Vito
391408024,Borgo Mantovano,Comune di Borgo Mantovano
391408025,Quistello,Comune di Quistello
391408026,Moglia,Comune di Moglia
391408027,Rodigo,Comune di Rodigo
391408028,Castellucchio,Comune di Castellucchio
391408029,Monzambano,Comune di Monzambano
391408030,Castel d'Ario,Comune di Castel d'Ario
391408031,Canneto sull'Oglio,Comune di Canneto sull'Oglio
391408032,Sabbioneta,Comune di Sabbioneta
391408033,Medole,Comune di Medole
391408034,Bozzolo,Comune di Bozzolo
391408035,Cavriana,Comune di Cavriana
391408036,Dosolo,Comune di Dosolo
391408037,Castelbelforte,Comune di Castelbelforte
391408038,Gazoldo degli Ippoliti,Comune di Gazoldo degli Ippoliti
391408039,Acquanegra sul Chiese,Comune di Acquanegra sul Chiese
391408040,Casaloldo,Comune di Casaloldo
391408041,Solferino,Comune di Solferino
391408042,Ceresara,Comune di Ceresara
391408043,Motteggiana,Comune di Motteggiana
391408044,Rivarolo Mantovano,Comune di Rivarolo Mantovano
391408045,Ponti sul Mincio,Comune di Ponti sul Mincio
391408046,Casalmoro,Comune di Casalmoro
391408047,Gazzuolo,Comune di Gazzuolo
391408048,Villimpenta,Comune di Villimpenta
391408049,Sustinente,Comune di Sustinente
391408050,Borgocarbonara,Comune di Borgocarbonara
391408051,Piubega,Comune di Piubega
391408052,Pomponesco,Comune di Pomponesco
391408053,San Martino dall'Argine,Comune di San Martino dall'Argine
391408054,San Giacomo delle S.,Comune di San Giacomo delle S.
391408055,Casalromano,Comune di Casalromano
391408056,Magnacavallo,Comune di Magnacavallo
391408057,Serravalle a Po,Comune di Serravalle a Po
391408058,Redondesco,Comune di Redondesco
391408059,San Giovanni del Dosso,Comune di San Giovanni del Dosso
391408060,Schivenoglia,Comune di Schivenoglia
391408061,Commessaggio,Comune di Commessaggio
391408062,Quingentole,Comune di Quingentole
391408063,Mariana Mantovana,Comune di Mariana Mantovana
3914090,Cremona,Comune di Cremona
391409001,Crema,Comune di Crema
391409002,Casalmaggiore,Comune di Casalmaggiore
391409003,Castelleone,Comune di Castelleone
391409004,Pandino,Comune di Pandino
391409005,Soresina,Comune di Soresina
391409006,Rivolta d'Adda,Comune di Rivolta d'Adda
391409007,Soncino,Comune di Soncino
391409008,Spino d'Adda,Comune di Spino d'Adda
391409009,Pizzighettone,Comune di Pizzighettone
391409010,Offanengo,Comune di Offanengo
391409011,Castelverde,Comune di Castelverde
391409012,Bagnolo Cremasco,Comune di Bagnolo Cremasco
391409013,Vailate,Comune di Vailate
391409014,Piadena Drizzona,Comune di Piadena Drizzona
391409015,Agnadello,Comune di Agnadello
391409016,Vescovato,Comune di Vescovato
391409017,Palazzo Pignano,Comune di Palazzo Pignano
391409018,Casalbuttano ed Uniti,Comune di Casalbuttano ed Uniti
391409019,Dovera,Comune di Dovera
391409020,Vaiano Cremasco,Comune di Vaiano Cremasco
391409021,Sergnano,Comune di Sergnano
391409022,Ripalta Cremasca,Comune di Ripalta Cremasca
391409023,Persico Dosimo,Comune di Persico Dosimo
391409024,Sesto ed Uniti,Comune di Sesto ed Uniti
391409025,Sospiro,Comune di Sospiro
391409026,Romanengo,Comune di Romanengo
391409027,Madignano,Comune di Madignano
391409028,Ostiano,Comune di Ostiano
391409029,Trescore Cremasco,Comune di Trescore Cremasco
391409030,Gussola,Comune di Gussola
391409031,Pianengo,Comune di Pianengo
391409032,Montodine,Comune di Montodine
391409033,Capralba,Comune di Capralba
391409034,Robecco d'Oglio,Comune di Robecco d'Oglio
391409035,Chieve,Comune di Chieve
391409036,Monte Cremasco,Comune di Monte Cremasco
391409037,San Bassano,Comune di San Bassano
391409038,Capergnanica,Comune di Capergnanica
391409039,Torre de' Picenardi,Comune di Torre de' Picenardi
391409040,Martignana di Po,Comune di Martignana di Po
391409041,Annicco,Comune di Annicco
391409042,Izano,Comune di Izano
391409043,Gadesco-Pieve Delmona,Comune di Gadesco-Pieve Delmona
391409044,San Giovanni in Croce,Comune di San Giovanni in Croce
391409045,Rivarolo del Re ed U.,Comune di Rivarolo del Re ed U.
391409046,Casale Cremasco-V.,Comune di Casale Cremasco-V.
391409047,Casaletto Vaprio,Comune di Casaletto Vaprio
391409048,Ricengo,Comune di Ricengo
391409049,Cremosano,Comune di Cremosano
391409050,Grumello CeU,Comune di Grumello CeU
391409051,Malagnino,Comune di Malagnino
391409052,Trigolo,Comune di Trigolo
391409053,Casalmorano,Comune di Casalmorano
391409054,Pieve San Giacomo,Comune di Pieve San Giacomo
391409055,Credera Rubbiano,Comune di Credera Rubbiano
391409056,Pescarolo ed Uniti,Comune di Pescarolo ed Uniti
391409057,Grontardo,Comune di Grontardo
391409058,Stagno Lombardo,Comune di Stagno Lombardo
391409059,Spinadesco,Comune di Spinadesco
391409060,Bonemerse,Comune di Bonemerse
391409061,Pozzaglio ed Uniti,Comune di Pozzaglio ed Uniti
391409062,Paderno Ponchielli,Comune di Paderno Ponchielli
391409063,Corte de' Frati,Comune di Corte de' Frati
391409064,Gerre de' Caprioli,Comune di Gerre de' Caprioli
391409065,Scandolara Ravara,Comune di Scandolara Ravara
391409066,San Daniele Po,Comune di San Daniele Po
391409067,Pieve d'Olmi,Comune di Pieve d'Olmi
391409068,Camisano,Comune di Camisano
391409069,Fiesco,Comune di Fiesco
391409070,Cingia de' Botti,Comune di Cingia de' Botti
391409071,Calvatone,Comune di Calvatone
391409072,Acquanegra Cremonese,Comune di Acquanegra Cremonese
391409073,Casaletto Ceredano,Comune di Casaletto Ceredano
391409074,Genivolta,Comune di Genivolta
391409075,Salvirola,Comune di Salvirola
391409076,Isola Dovarese,Comune di Isola Dovarese
391409077,Pieranica,Comune di Pieranica
391409078,Corte de' Cortesi C.,Comune di Corte de' Cortesi C.
391409079,Formigara,Comune di Formigara
391409080,Ripalta Arpina,Comune di Ripalta Arpina
391409081,Solarolo Rainerio,Comune di Solarolo Rainerio
391409082,Olmeneta,Comune di Olmeneta
391409083,Cicognolo,Comune di Cicognolo
391409084,Quintano,Comune di Quintano
391409085,Gabbioneta-Binanuova,Comune di Gabbioneta-Binanuova
391409086,Motta Baluffi,Comune di Motta Baluffi
391409087,Moscazzano,Comune di Moscazzano
391409088,Campagnola Cremasca,Comune di Campagnola Cremasca
391409089,Crotta d'Adda,Comune di Crotta d'Adda
391409090,Gombito,Comune di Gombito
391409091,Spineda,Comune di Spineda
391409092,Pessina Cremonese,Comune di Pessina Cremonese
391409093,Azzanello,Comune di Azzanello
391409094,Torricella del Pizzo,Comune di Torricella del Pizzo
391409095,Bordolano,Comune di Bordolano
391409096,Casteldidone,Comune di Casteldidone
391409097,Cappella Cantone,Comune di Cappella Cantone
391409098,Scandolara Ripa d'Oglio,Comune di Scandolara Ripa d'Oglio
391409099,Ripalta Guerina,Comune di Ripalta Guerina
391409100,Casaletto di Sopra,Comune di Casaletto di Sopra
391409101,Volongo,Comune di Volongo
391409102,Cella Dati,Comune di Cella Dati
391409103,Torlino Vimercati,Comune di Torlino Vimercati
391409104,Tornata,Comune di Tornata
391409105,Castel Gabbiano,Comune di Castel Gabbiano
391409106,Cumignano sul Naviglio,Comune di Cumignano sul Naviglio
391409107,Cappella de' Picenardi,Comune di Cappella de' Picenardi
391409108,Ticengo,Comune di Ticengo
391409109,San Martino del Lago,Comune di San Martino del Lago
391409110,Voltido,Comune di Voltido
391409111,Castelvisconti,Comune di Castelvisconti
391409112,Derovere,Comune di Derovere
3914100,Lecco,Comune di Lecco
391410001,Merate,Comune di Merate
391410002,Calolziocorte,Comune di Calolziocorte
391410003,Casatenovo,Comune di Casatenovo
391410004,Valmadrera,Comune di Valmadrera
391410005,Mandello del Lario,Comune di Mandello del Lario
391410006,Oggiono,Comune di Oggiono
391410007,Missaglia,Comune di Missaglia
391410008,Galbiate,Comune di Galbiate
391410009,Colico,Comune di Colico
391410010,Olginate,Comune di Olginate
391410011,Olgiate Molgora,Comune di Olgiate Molgora
391410012,Robbiate,Comune di Robbiate
391410013,Verderio,Comune di Verderio
391410014,Calco,Comune di Calco
391410015,Lomagna,Comune di Lomagna
391410016,Barzanò,Comune di Barzanò
391410017,Osnago,Comune di Osnago
391410018,Costa Masnaga,Comune di Costa Masnaga
391410019,La Valletta Brianza,Comune di La Valletta Brianza
391410020,Brivio,Comune di Brivio
391410021,Cassago Brianza,Comune di Cassago Brianza
391410022,Malgrate,Comune di Malgrate
391410023,Ballabio,Comune di Ballabio
391410024,Monticello Brianza,Comune di Monticello Brianza
391410025,Cernusco Lombardone,Comune di Cernusco Lombardone
391410026,Paderno d'Adda,Comune di Paderno d'Adda
391410027,Civate,Comune di Civate
391410028,Nibionno,Comune di Nibionno
391410029,Molteno,Comune di Molteno
391410030,Bellano,Comune di Bellano
391410031,Valgreghentino,Comune di Valgreghentino
391410032,Bosisio Parini,Comune di Bosisio Parini
391410033,Abbadia Lariana,Comune di Abbadia Lariana
391410034,Rogeno,Comune di Rogeno
391410035,Bulciago,Comune di Bulciago
391410036,Sirtori,Comune di Sirtori
391410037,Vercurago,Comune di Vercurago
391410038,Airuno,Comune di Airuno
391410039,Garlate,Comune di Garlate
391410040,Montevecchia,Comune di Montevecchia
391410041,Dervio,Comune di Dervio
